Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D_Small,D_SOD-123,41.725,-104,90,bottom
D2,D_Small,D_SOD-123,73.5375,-104,90,bottom
D3,D_Small,D_SOD-123,92.5875,-104,90,bottom
D4,D_Small,D_SOD-123,111.6375,-104,90,bottom
D5,D_Small,D_SOD-123,120.6875,-104,90,bottom
D6,D_Small,D_SOD-123,154.5,-104,90,bottom
D7,D_Small,D_SOD-123,189.15,-103.263604,90,bottom
D8,D_Small,D_SOD-123,208.2,-103.263604,90,bottom
D9,D_Small,D_SOD-123,219.25,-103.263604,90,bottom
D10,D_Small,D_SOD-123,251.0625,-103.263604,90,bottom
D11,D_Small,D_SOD-123,270.1125,-103.263604,90,bottom
D12,D_Small,D_SOD-123,289.1625,-103.263604,90,bottom
D13,D_Small,D_SOD-123,300.2125,-103.263604,90,bottom
D14,D_Small,D_SOD-123,324.025,-103.263604,90,bottom
D16,D_Small,D_SOD-123,53.3375,-124.2,90,bottom
D17,D_Small,D_SOD-123,72.3875,-124.2,90,bottom
D18,D_Small,D_SOD-123,91.4375,-124.2,90,bottom
D19,D_Small,D_SOD-123,110.4875,-124.2,90,bottom
D20,D_Small,D_SOD-123,129.5375,-124.2,90,bottom
D21,D_Small,D_SOD-123,148.5875,-124.2,90,bottom
D22,D_Small,D_SOD-123,155.6375,-128.2,90,bottom
D23,D_Small,D_SOD-123,212.7,-123.825,90,bottom
D24,D_Small,D_SOD-123,231.75,-123.825,90,bottom
D25,D_Small,D_SOD-123,250.8,-123.825,90,bottom
D26,D_Small,D_SOD-123,269.85,-123.825,90,bottom
D27,D_Small,D_SOD-123,288.9,-123.825,90,bottom
D28,D_Small,D_SOD-123,307.95,-123.825,90,bottom
D29,D_Small,D_SOD-123,311,-123.825,90,bottom
D30,D_Small,D_SOD-123,322.05,-133.825,0,bottom
D31,D_Small,D_SOD-123,368.475,-124.3,90,bottom
D32,D_Small,D_SOD-123,387.525,-124.3,90,bottom
D33,D_Small,D_SOD-123,404.575,-128.3,90,bottom
D34,D_Small,D_SOD-123,427.375,-124.35,90,bottom
D35,D_Small,D_SOD-123,446.425,-124.35,90,bottom
D36,D_Small,D_SOD-123,465.475,-124.35,90,bottom
D37,D_Small,D_SOD-123,482.525,-128.35,0,bottom
D38,D_Small,D_SOD-123,58.1,-145.25,90,bottom
D39,D_Small,D_SOD-123,81.9125,-145.25,90,bottom
D40,D_Small,D_SOD-123,100.9625,-145.25,90,bottom
D41,D_Small,D_SOD-123,120.0125,-145.25,90,bottom
D42,D_Small,D_SOD-123,139.0625,-145.25,90,bottom
D43,D_Small,D_SOD-123,146.1125,-147.25,90,bottom
D44,D_Small,D_SOD-123,203.175,-144.875,90,bottom
D45,D_Small,D_SOD-123,222.225,-144.875,90,bottom
D46,D_Small,D_SOD-123,241.275,-144.875,90,bottom
D47,D_Small,D_SOD-123,260.325,-144.875,90,bottom
D48,D_Small,D_SOD-123,279.375,-144.875,90,bottom
D49,D_Small,D_SOD-123,298.425,-144.875,90,bottom
D50,D_Small,D_SOD-123,317.475,-144.875,90,bottom
D51,D_Small,D_SOD-123,341.2875,-144.875,90,bottom
D52,D_Small,D_SOD-123,368.475,-143.35,90,bottom
D53,D_Small,D_SOD-123,387.525,-143.35,90,bottom
D54,D_Small,D_SOD-123,404.575,-147.35,90,bottom
D56,D_Small,D_SOD-123,429.375,-147.4,-90,bottom
D57,D_Small,D_SOD-123,442.425,-139.4,-90,bottom
D58,D_Small,D_SOD-123,453.475,-147.4,90,bottom
D59,D_Small,D_SOD-123,465.525,-147.4,90,bottom
D62,D_Small,D_SOD-123,64.48125,-164.3,90,bottom
D63,D_Small,D_SOD-123,86.675,-164.3,90,bottom
D64,D_Small,D_SOD-123,105.725,-164.3,90,bottom
D65,D_Small,D_SOD-123,124.775,-164.3,90,bottom
D66,D_Small,D_SOD-123,143.825,-164.3,90,bottom
D67,D_Small,D_SOD-123,150.875,-166.3,90,bottom
D68,D_Small,D_SOD-123,207.9375,-163.925,90,bottom
D69,D_Small,D_SOD-123,226.9875,-163.925,90,bottom
D70,D_Small,D_SOD-123,246.0375,-163.925,90,bottom
D71,D_Small,D_SOD-123,265.0875,-163.925,90,bottom
D72,D_Small,D_SOD-123,284.1375,-163.925,90,bottom
D73,D_Small,D_SOD-123,303.1875,-163.925,90,bottom
D74,D_Small,D_SOD-123,308.14375,-163.925,90,bottom
D75,D_Small,D_SOD-123,368.475,-162.4,90,bottom
D76,D_Small,D_SOD-123,387.525,-162.4,90,bottom
D77,D_Small,D_SOD-123,404.575,-166.4,90,bottom
D78,D_Small,D_SOD-123,430.375,-153.45,180,bottom
D79,D_Small,D_SOD-123,446.425,-152.45,-90,bottom
D80,D_Small,D_SOD-123,449.475,-152.45,-90,bottom
D81,D_Small,D_SOD-123,462.525,-153.45,0,bottom
D82,D_Small,D_SOD-123,65.24375,-183.35,90,bottom
D83,D_Small,D_SOD-123,96.2,-183.35,90,bottom
D84,D_Small,D_SOD-123,115.25,-183.35,90,bottom
D85,D_Small,D_SOD-123,134.3,-183.35,90,bottom
D86,D_Small,D_SOD-123,145.35,-187.35,90,bottom
D87,D_Small,D_SOD-123,160.4,-185.35,90,bottom
D88,D_Small,D_SOD-123,198.4125,-182.975,90,bottom
D89,D_Small,D_SOD-123,217.4625,-182.975,90,bottom
D90,D_Small,D_SOD-123,236.5125,-182.975,90,bottom
D91,D_Small,D_SOD-123,255.5625,-182.975,90,bottom
D92,D_Small,D_SOD-123,274.6125,-182.975,90,bottom
D93,D_Small,D_SOD-123,293.6625,-182.975,90,bottom
D94,D_Small,D_SOD-123,301.85625,-182.975,90,bottom
D95,D_Small,D_SOD-123,328.05,-188.975,90,bottom
D97,D_Small,D_SOD-123,368.475,-181.45,90,bottom
D98,D_Small,D_SOD-123,387.525,-181.45,90,bottom
D99,D_Small,D_SOD-123,404.575,-185.45,90,bottom
D101,D_Small,D_SOD-123,434.375,-171.5,180,bottom
D102,D_Small,D_SOD-123,446.425,-171.5,-90,bottom
D103,D_Small,D_SOD-123,449.475,-171.5,-90,bottom
D104,D_Small,D_SOD-123,462.525,-171.5,0,bottom
D106,D_Small,D_SOD-123,55.71875,-190.4,-90,bottom
D107,D_Small,D_SOD-123,79.53125,-190.4,-90,bottom
D108,D_Small,D_SOD-123,103.34375,-190.4,-90,bottom
D109,D_Small,D_SOD-123,134.68125,-190.4,-90,bottom
D110,D_Small,D_SOD-123,196.03125,-190.025,-90,bottom
D111,D_Small,D_SOD-123,226.13125,-190.025,-90,bottom
D112,D_Small,D_SOD-123,272.23125,-190.025,-90,bottom
D113,D_Small,D_SOD-123,296.04375,-190.025,-90,bottom
D114,D_Small,D_SOD-123,299.85625,-190.025,-90,bottom
D115,D_Small,D_SOD-123,321.66875,-194.025,-90,bottom
D116,D_Small,D_SOD-123,368.475,-200.5,90,bottom
D117,D_Small,D_SOD-123,387.525,-200.5,90,bottom
D118,D_Small,D_SOD-123,404.575,-204.5,90,bottom
D119,D_Small,D_SOD-123,429.375,-190.55,-90,bottom
D120,D_Small,D_SOD-123,446.425,-190.55,-90,bottom
D121,D_Small,D_SOD-123,449.475,-190.55,-90,bottom
D122,D_Small,D_SOD-123,464.525,-190.55,-90,bottom
D135,D_Small,D_SOD-123,356.85,-102.075,90,bottom
D136,D_Small,D_SOD-123,375.9,-102.075,90,bottom
