Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,SW_Push,SW_SPST_TL3342,43.9,-54.05,-90,bottom
C1,1u,C_0402_1005Metric,33.05,-50,180,bottom
C2,100n,C_0402_1005Metric,33.05,-51.2,180,bottom
C3,100n,C_0402_1005Metric,33.05,-52.35,180,bottom
C4,10u,C_0402_1005Metric,47,-43.55,180,bottom
C5,1u,C_0402_1005Metric,47,-44.75,180,bottom
C6,100n,C_0402_1005Metric,47,-45.95,180,bottom
C7,100n,C_0402_1005Metric,47,-47.15,180,bottom
C8,100n,C_0402_1005Metric,44.8,-43.55,180,bottom
C9,100n,C_0402_1005Metric,44.8,-44.75,180,bottom
C10,100n,C_0402_1005Metric,44.8,-45.95,180,bottom
C11,100n,C_0402_1005Metric,44.8,-47.15,180,bottom
C12,1u,C_0402_1005Metric,48.9,-29.275,90,bottom
C13,1u,C_0402_1005Metric,28.27,-37.95,180,bottom
C14,1u,C_0402_1005Metric,27.15,-43.95,0,bottom
C15,22p,C_0402_1005Metric,38.85,-49.25,0,bottom
C16,22p,C_0402_1005Metric,36.75,-49.25,180,bottom
F1,Fuse_Small,MF-MSMF050-2,27.45,-33.1,-90,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,35.71,-24.2,0,bottom
J2,Conn_01x05,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,52.975,-54.9,-90,bottom
J3,Conn_01x08,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,53,-43.9,-90,bottom
J4,Conn_01x05,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,18.2,-54.85,90,bottom
J5,Conn_01x07,JST_SH_SM07B-SRSS-TB_1x07-1MP_P1.00mm_Horizontal,18.175,-44.6,90,bottom
J6,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,19.725,-23.95,90,bottom
J7,Conn_01x04,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,52,-24.7,0,bottom
J8,Conn_01x05,PinHeader_1x05_P2.00mm_Vertical,31.1,-58.4,90,bottom
J9,Conn_01x04,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,52.825,-32.3,-90,bottom
J14,Conn_01x09,JST_SH_SM09B-SRSS-TB_1x09-1MP_P1.00mm_Horizontal,18.15,-32.6,90,bottom
R1,5.1k,R_0402_1005Metric,30.6,-32.65,-90,bottom
R2,5.1k,R_0402_1005Metric,37.9,-31.4,-90,bottom
R3,27,R_0402_1005Metric,34.05,-35.79,-90,bottom
R4,27,R_0402_1005Metric,35.35,-35.79,-90,bottom
R5,5.1k,R_0402_1005Metric,42.2,-48.9,180,bottom
R6,5.1k,R_0402_1005Metric,44.4,-48.9,180,bottom
R7,1k,R_0402_1005Metric,46.6,-48.9,180,bottom
R8,5.1k,R_0402_1005Metric,30.35,-49.2,90,bottom
R9,1k,R_0402_1005Metric,34.8,-49.7,90,bottom
RESET1,SW_Push,SW_SPST_TL3342,26.6,-52.475,-90,bottom
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,35.7,-42.3,180,bottom
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,45.4,-33.2,90,bottom
U3,XC6206PxxxMR,SOT-23-3,27.95,-40.95,90,bottom
U4,SRV05-4,SOT-23-6-routable,34.925,-32.95,180,bottom
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,37.7,-51.8,0,bottom
